COUNTY,YEARS,STRATA,AGE GROUP,CURRENT PREVALENCE,95% CONFIDENCE INTERVAL,COUNTIES GROUPED,COMMENT
Tehama,2015–2016,Age groups,0–4 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Trinity,2015–2016,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Tulare,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Tuolumne,2015–2016,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Ventura,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Yolo,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
Yuba,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
California,2015–2016,Age groups,5–17 years,12.3,(9.8–14.8),,
Alameda,2015–2016,Age groups,5–17 years,19.4,(2.9–35.9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Alpine,2015–2016,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Amador,2015–2016,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Butte,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Calaveras,2015–2016,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Colusa,2015–2016,Age groups,5–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Contra Costa,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Del Norte,2015–2016,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
El Dorado,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Fresno,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Glenn,2015–2016,Age groups,5–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Humboldt,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Imperial,2015–2016,Age groups,5–17 years,20.5,(6.4–34.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Inyo,2015–2016,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Kern,2015–2016,Age groups,5–17 years,23.7,(4.5–42.9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Kings,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Lake,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Lassen,2015–2016,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Los Angeles,2015–2016,Age groups,5–17 years,13.2,(7.3–19.1),,
Madera,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Marin,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Mariposa,2015–2016,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Mendocino,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Merced,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Modoc,2015–2016,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Mono,2015–2016,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Monterey,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Napa,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Nevada,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Orange,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Placer,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Plumas,2015–2016,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Riverside,2015–2016,Age groups,5–17 years,18.4,(3.6–33.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Sacramento,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
San Benito,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
San Bernardino,2015–2016,Age groups,5–17 years,14.6,(1.8–27.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Diego,2015–2016,Age groups,5–17 years,8.7,(2.9–14.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Francisco,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
San Joaquin,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
San Luis Obispo,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
San Mateo,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Santa Barbara,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Santa Clara,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Santa Cruz,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Shasta,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Sierra,2015–2016,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Siskiyou,2015–2016,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Solano,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Sonoma,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Stanislaus,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Sutter,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Tehama,2015–2016,Age groups,5–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
Trinity,2015–2016,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
Tulare,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Tuolumne,2015–2016,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
Ventura,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Yolo,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
Yuba,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to unreliable estimate
California,2015–2016,Age groups,18–64 years,8.1,(7.3–8.9),,
Alameda,2015–2016,Age groups,18–64 years,7.1,(3.7–10.5),,
Alpine,2015–2016,Age groups,18–64 years,9,(2.7–15.4),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Amador,2015–2016,Age groups,18–64 years,9,(2.7–15.4),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Butte,2015–2016,Age groups,18–64 years,10.4,(2.6–18.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Calaveras,2015–2016,Age groups,18–64 years,9,(2.7–15.4),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Colusa,2015–2016,Age groups,18–64 years,7.3,(1.5–13.1),"Colusa, Glenn, and Tehama counties combined combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Contra Costa,2015–2016,Age groups,18–64 years,9.3,(4.5–14.1),,
Del Norte,2015–2016,Age groups,18–64 years,10.4,(0.2–20.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
El Dorado,2015–2016,Age groups,18–64 years,14,(0.6–27.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Fresno,2015–2016,Age groups,18–64 years,11,(4.9–17.1),,
Glenn,2015–2016,Age groups,18–64 years,7.3,(1.5–13.1),"Colusa, Glenn, and Tehama counties combined combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Humboldt,2015–2016,Age groups,18–64 years,13.1,(0.6–25.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Imperial,2015–2016,Age groups,18–64 years,8.7,(4.4–13.0),,
Inyo,2015–2016,Age groups,18–64 years,9,(2.7–15.4),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Kern,2015–2016,Age groups,18–64 years,11.9,(5.5–18.4),,
Kings,2015–2016,Age groups,18–64 years,16.5,(5.9–27.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Lake,2015–2016,Age groups,18–64 years,22.9,(10.4–35.3),,
Lassen,2015–2016,Age groups,18–64 years,10.4,(0.2–20.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Los Angeles,2015–2016,Age groups,18–64 years,6.9,(5.6–8.1),,
Madera,2015–2016,Age groups,18–64 years,9.4,(2.7–16.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Marin,2015–2016,Age groups,18–64 years,6.7,(3.7–9.7),,
Mariposa,2015–2016,Age groups,18–64 years,9,(2.7–15.4),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mendocino,2015–2016,Age groups,18–64 years,9.7,(3.4–16.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Merced,2015–2016,Age groups,18–64 years,11.3,(2.4–20.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Modoc,2015–2016,Age groups,18–64 years,10.4,(0.2–20.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mono,2015–2016,Age groups,18–64 years,9,(2.7–15.4),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Monterey,2015–2016,Age groups,18–64 years,6.1,(2.2–9.9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Napa,2015–2016,Age groups,18–64 years,12,(3.6–20.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
